Mauritanie%00,Hodh Ech Chargui%01,Néma%0101,Néma%010101
Mauritanie%00,Hodh Ech Chargui%01,Néma%0101,Hassi Atil%010102
Mauritanie%00,Hodh Ech Chargui%01,Néma%0101,Dhar%010103
Mauritanie%00,Hodh Ech Chargui%01,Néma%0101,Ideikheili%010104
Mauritanie%00,Hodh Ech Chargui%01,Néma%0101,Nimlane%010105
Mauritanie%00,Hodh Ech Chargui%01,Amourj%0102,Amourj%010201
Mauritanie%00,Hodh Ech Chargui%01,Amourj%0102,Fassala-Néré%010202
Mauritanie%00,Hodh Ech Chargui%01,Amourj%0102,Gougui Zemmal%010203
Mauritanie%00,Hodh Ech Chargui%01,Amourj%0102,Sansa%010204
Mauritanie%00,Hodh Ech Chargui%01,Amourj%0102,Oum Ávnaday%010205
Mauritanie%00,Hodh Ech Chargui%01,Bassikounou%0103,Bassikounou%010301
Mauritanie%00,Hodh Ech Chargui%01,Bassikounou%0103,Diouk%010302
Mauritanie%00,Hodh Ech Chargui%01,Bassikounou%0103,Fassala%010303
Mauritanie%00,Hodh Ech Chargui%01,Bassikounou%0103,Hamoud%010304
Mauritanie%00,Hodh Ech Chargui%01,Bassikounou%0103,Mbeidia%010305
Mauritanie%00,Hodh Ech Chargui%01,Djiguenni%0104,Djiguenni%010401
Mauritanie%00,Hodh Ech Chargui%01,Djiguenni%0104,El Megve%010402
Mauritanie%00,Hodh Ech Chargui%01,Djiguenni%0104,Hassi El Abiod%010403
Mauritanie%00,Hodh Ech Chargui%01,Djiguenni%0104,Lerbi%010404
Mauritanie%00,Hodh Ech Chargui%01,Djiguenni%0104,Touil%010405
Mauritanie%00,Hodh Ech Chargui%01,Oualata%0105,Oualata%010501
Mauritanie%00,Hodh Ech Chargui%01,Oualata%0105,Aghchorguit%010502
Mauritanie%00,Hodh Ech Chargui%01,Timbedra%0106,Timbedra%010601
Mauritanie%00,Hodh Ech Chargui%01,Timbedra%0106,Beribavat%010602
Mauritanie%00,Hodh Ech Chargui%01,Timbedra%0106,Hassi M'Hadi%010603
